rat_stars,rat_amt_spent,hotel_id,member_id,air_code,dest_id,highlight_id
2,2073,1,62,CA,57,11
1,2627,6,2,AF,28,17
2,2891,5,44,CA,59,2
5,2494,2,63,AS,36,2
2,2884,2,12,7C,19,1
3,2511,9,62,AS,37,5
3,2087,5,42,BA,28,13
1,1411,1,63,BA,4,1
4,2151,10,83,AC,1,4
3,2471,1,43,BA,14,14
5,1706,8,39,AA,49,2
5,2944,1,76,AC,10,6
2,2162,8,100,AA,32,3
1,1362,1,25,7C,21,14
1,2296,6,66,BA,3,10
4,2837,2,24,AC,50,6
4,1297,7,59,CA,18,17
3,2435,2,66,AA,24,6
5,2232,5,93,B6,49,6
1,2309,2,32,B6,10,2
3,2970,1,47,AA,25,15
1,1912,8,34,B6,12,16
4,2823,10,66,CA,18,11
1,1405,5,100,BA,31,9
3,1536,7,21,B6,17,16
1,2398,5,44,BA,51,14
1,2159,4,98,B6,6,10
4,1128,5,41,CA,55,4
2,2804,1,14,7C,55,16
2,2487,10,52,CA,52,16
5,1768,1,11,7C,60,9
1,2975,6,45,CA,12,13
2,2760,9,53,CA,50,1
4,1929,2,55,7C,27,4
3,2007,8,76,AC,37,8
4,1992,5,19,CA,16,14
4,2075,3,70,B6,10,15
3,1878,6,92,B6,25,16
2,1265,8,86,AS,58,6
3,2081,6,67,AF,48,16
5,1664,1,6,CA,39,6
4,1000,8,78,AC,13,4
1,2485,1,51,AC,47,6
1,1442,4,35,AF,50,14
3,2845,7,22,AS,29,10
1,2509,5,36,AS,50,2
3,2764,4,38,CA,19,12
5,2181,9,5,AS,16,15
2,2560,4,75,BA,26,15
3,1089,10,38,AS,36,1
1,2005,5,25,AC,57,1
4,1691,8,12,7C,41,2
2,1003,6,86,AA,29,2
1,1625,8,74,BA,47,1
1,1534,10,23,B6,12,15
4,1911,10,80,B6,40,2
5,1254,3,43,7C,2,1
5,1670,5,68,AC,51,9
2,2021,3,74,AF,5,1
1,1285,5,66,7C,1,7
2,1662,2,17,AF,18,6
4,1348,6,82,AF,50,13
4,2331,2,23,B6,54,12
2,1974,9,92,BA,25,5
3,2467,5,30,BA,51,1
2,1176,10,35,BA,13,3
2,2880,9,62,AS,43,9
3,2768,5,57,AF,34,8
4,2065,5,37,BA,1,1
5,2591,7,16,7C,21,17
5,2615,8,20,7C,7,11
3,1040,9,17,BA,23,15
2,1023,3,6,CA,40,6
4,2558,3,63,CA,1,15
1,1404,8,68,AC,45,13
4,2536,5,76,AF,18,7
1,1273,2,87,AC,47,7
1,2647,2,39,7C,8,6
4,2973,1,21,BA,9,6
5,2828,4,89,7C,9,4
1,1197,2,52,CA,25,11
1,1281,8,86,AF,40,1
1,1995,3,22,AS,52,6
5,1732,5,94,BA,44,17
3,2186,7,87,7C,11,7
2,2986,8,25,AS,18,15
5,2753,10,55,AC,14,17
2,2183,4,69,7C,41,11
1,2673,2,35,7C,43,7
3,1519,1,7,B6,32,1
4,2862,3,68,7C,27,15
5,2816,8,96,AF,29,8
2,2227,7,18,7C,52,9
4,1531,2,47,B6,46,10
5,1451,4,70,AF,20,5
2,1385,9,97,BA,23,17
4,1282,10,20,AF,35,9
2,1853,9,36,BA,46,6
2,1800,3,78,7C,46,11
3,1520,9,27,AS,49,14
5,1048,3,99,B6,17,11
4,2778,8,34,AC,8,7
1,2497,8,32,AF,2,5
2,2239,9,55,CA,4,10
2,1949,10,36,AS,49,4
3,1618,2,46,7C,10,14
1,1918,9,77,AA,18,12
2,1504,1,14,BA,32,8
1,2609,9,66,AF,36,12
3,1871,3,27,AA,22,6
1,2900,5,65,AA,38,4
1,1728,4,7,7C,35,12
4,1940,8,42,AS,15,1
3,1344,2,7,CA,18,6
2,2626,4,23,CA,49,16
4,2849,9,11,AC,42,8
5,2688,3,21,B6,25,1
3,2146,9,66,BA,6,13
1,1831,10,15,B6,12,6
1,2490,8,75,B6,31,13
2,2565,9,62,AF,1,15
4,1509,7,8,AS,60,14
2,1177,10,20,CA,25,12
2,2584,8,41,B6,4,10
2,1230,4,32,AF,18,2
5,2316,5,73,B6,39,2
5,2442,4,97,BA,33,16
2,1076,10,44,BA,10,16
2,2572,1,40,CA,33,3
4,2700,10,41,AF,55,16
2,1603,2,75,BA,15,16
5,1837,3,80,AA,50,17
5,2103,9,29,AA,13,8
5,1530,6,73,7C,59,1
3,2547,9,69,AS,33,12
5,1629,4,79,B6,59,2
1,1913,7,58,AA,34,15
4,1890,6,64,AC,58,13
4,2471,4,84,AF,55,5
1,2316,3,77,7C,60,9
4,1621,3,30,AS,32,2
2,2974,2,75,AS,54,7
3,1840,7,29,CA,16,4
1,2704,10,67,CA,46,11
4,1308,8,30,AF,28,7
1,2934,8,7,B6,36,11
1,2051,4,67,AC,48,14
5,2666,8,61,CA,60,7
3,2253,8,20,7C,37,15
1,2761,3,75,CA,53,12
2,1700,7,30,7C,58,1
4,2823,3,11,BA,32,2
5,1609,8,21,BA,49,10
4,2163,3,11,AF,53,13
5,2015,9,46,B6,28,14
1,1557,2,84,AC,57,9
4,1847,5,74,AC,32,8
4,2040,6,49,AS,2,14
2,1316,10,5,AF,45,10
5,1942,2,98,BA,1,13
1,1733,5,53,7C,29,7
4,2189,10,90,BA,41,2
5,1940,3,46,AS,36,16
5,2522,6,6,BA,56,5
5,1026,7,79,AC,14,12
3,1855,2,36,AF,55,13
5,2940,2,87,B6,8,15
3,1817,3,80,BA,48,6
4,1618,2,7,BA,56,11
2,2622,10,68,AA,22,4
4,1231,2,78,AS,31,6
5,1907,10,53,B6,27,16
1,2218,3,80,AA,13,11
2,2215,5,14,AF,60,1
2,2076,10,79,AA,25,7
2,2463,9,16,BA,12,12
2,2394,2,92,BA,27,16
1,1802,5,85,AF,10,6
5,2578,9,54,AF,57,10
1,2195,5,74,7C,51,10
3,1313,7,98,BA,42,5
4,1583,9,80,AC,36,3
1,1961,10,40,AC,54,13
3,2214,1,68,BA,60,16
4,2041,7,81,AC,54,12
1,2305,1,27,CA,3,8
1,1803,9,44,AA,27,15
4,1442,6,99,B6,29,12
1,2913,1,17,CA,17,1
3,2962,10,89,BA,44,1
2,1328,2,14,BA,19,4
2,1504,2,21,AS,7,9
2,2885,1,3,AC,53,17
1,2270,9,50,AF,23,8
5,2374,3,62,B6,4,8
1,2013,1,15,AS,43,8
2,1621,4,100,B6,60,14
4,1040,7,74,CA,14,6
3,2168,5,35,7C,37,2
5,1830,2,80,AA,33,3
2,2755,10,66,B6,52,16
4,1897,1,46,AA,15,11
3,2326,9,4,BA,39,5
3,1607,3,11,7C,34,10
1,2245,9,51,BA,18,10
2,2091,9,86,7C,28,3
4,1542,7,41,AA,8,12
4,2553,9,86,AF,19,3
4,2272,1,84,AA,13,15
5,1717,10,66,7C,43,4
5,1850,5,30,B6,52,7
4,1788,4,65,BA,28,14
4,1353,9,53,AC,41,6
2,1906,7,71,BA,32,7
5,2178,10,73,BA,13,14
1,2037,10,50,AC,40,15
5,2777,1,29,B6,5,1
2,2536,9,86,AA,19,11
4,1228,2,75,AC,60,11
4,1241,9,25,7C,59,16
5,2588,1,45,B6,53,15
5,1529,6,35,B6,6,16
4,2697,5,36,AC,38,13
4,1392,8,37,B6,17,5
2,2639,2,53,7C,58,6
3,2614,1,85,CA,41,12
4,2402,1,37,AA,55,13
3,1784,7,12,AF,46,8
2,1776,2,93,AS,58,9
4,2105,1,79,CA,32,11
4,2753,8,30,AA,50,11
1,1020,8,70,AC,45,14
3,1338,2,15,7C,35,13
1,2888,7,99,CA,59,8
1,2389,2,23,BA,46,5
1,1515,1,10,CA,29,3
5,1362,6,21,BA,17,3
2,1316,2,85,CA,58,14
2,2053,4,12,B6,56,2
5,1585,7,55,BA,12,13
5,2996,4,86,BA,60,13
2,1217,9,44,CA,21,5
3,2572,8,99,AF,47,14
1,2775,4,30,BA,24,10
1,1122,7,11,B6,28,1
1,1824,4,59,B6,44,8
5,2554,2,90,AA,34,5
4,1282,5,79,CA,55,12
1,1515,7,94,AC,37,15
5,1304,7,76,7C,28,12
1,2331,7,35,BA,10,3
1,2469,7,24,AF,56,13
3,2356,4,12,AF,6,10
5,2385,10,39,B6,57,4
3,2114,6,29,AF,47,16
3,2831,7,55,AF,4,13
4,2820,3,10,AF,23,4
1,2497,8,81,B6,14,8
3,1344,1,84,AF,20,10
3,2700,9,40,AA,20,5
4,1373,9,67,BA,41,1
4,1372,9,82,B6,14,1
4,1795,7,45,7C,50,9
5,1130,8,52,AA,16,2
5,1765,10,33,CA,49,2
2,2868,3,23,B6,1,7
2,1878,9,33,AS,23,11
4,2183,6,64,AC,24,14
5,2377,10,98,AC,46,4
2,1538,7,22,AS,8,11
5,2919,8,72,AA,52,4
3,1041,2,42,CA,4,5
1,2633,2,57,AC,22,13
3,2031,10,41,BA,45,14
4,2474,6,66,AF,6,13
5,1772,4,38,AC,34,1
2,2412,6,30,B6,39,6
4,2074,4,86,7C,22,2
2,1301,7,28,AS,31,9
3,1555,10,22,CA,2,3
1,1183,6,95,B6,18,16
3,1050,3,5,AC,48,8
3,2295,7,10,AA,20,13
3,1297,7,89,AC,13,7
5,1956,6,53,AF,13,9
1,2998,3,75,BA,56,6
2,2564,7,90,AA,1,6
2,1276,9,3,AF,14,9
3,2565,7,9,AA,51,5
3,1751,10,39,7C,50,4
3,1811,6,58,7C,19,12
5,1995,7,93,AF,11,12
5,2296,6,20,AF,3,14
3,1984,3,3,BA,35,6
2,2092,4,14,AS,46,3
4,1548,2,56,B6,43,1
2,2053,8,98,AA,18,12
2,1932,10,53,7C,11,4
4,1537,5,75,AS,42,9
3,1190,2,55,7C,16,17
1,2605,10,56,AS,26,3
5,1954,5,28,B6,20,2
5,1592,1,84,B6,28,15
3,1303,6,61,AF,58,4
5,2081,8,1,B6,28,4
3,2678,9,52,BA,56,10
2,2654,6,83,7C,5,10
2,2340,10,55,AA,54,1
3,1055,2,83,AF,47,17
5,2340,9,92,7C,60,2
3,2844,8,49,BA,40,10
5,2889,9,95,AS,54,8
4,1141,6,3,CA,42,16
1,1011,9,63,AS,14,7
2,1949,3,23,B6,12,12
2,1754,5,97,B6,22,2
1,1028,9,15,AC,52,1
3,2866,6,2,B6,20,8
2,2228,5,70,AS,14,13
3,2792,10,98,AA,41,9
5,1206,3,90,BA,22,13
1,2427,5,90,AS,8,12
3,2383,4,40,AS,54,1
1,2945,4,32,B6,59,17
4,2078,2,68,BA,14,12
4,1572,7,9,B6,54,17
4,2441,1,55,AF,53,8
2,2368,5,31,7C,44,3
1,1554,2,61,CA,57,1
5,1103,3,15,BA,9,15
1,2220,6,31,7C,47,17
4,2339,9,17,AS,2,14
4,2494,4,84,AC,2,2
4,1671,8,13,CA,59,11
3,1469,9,83,CA,58,14
3,2089,3,52,AC,12,7
4,2198,3,29,AC,28,15
2,2441,7,57,AS,26,15
1,1460,4,74,7C,10,15
5,2482,2,80,BA,3,9
4,1110,3,32,AF,57,12
1,1849,4,32,BA,24,5
1,1370,2,39,B6,6,2
2,1065,8,94,B6,38,1
5,1877,1,56,AC,59,10
3,1882,9,81,AF,47,3
1,2177,10,52,B6,20,6
3,1101,8,3,AS,40,14
5,1932,4,90,B6,18,1
1,1274,1,60,CA,46,14
5,2259,8,61,AA,45,15
3,1811,8,1,AA,34,1
4,1635,8,41,AC,56,8
1,2896,9,16,BA,31,1
1,2808,10,10,CA,27,4
3,1917,10,57,7C,18,4
5,1762,8,52,BA,35,5
1,1141,10,28,B6,41,7
2,1599,6,22,AA,40,4
1,1682,8,98,B6,18,16
3,2041,5,88,AS,9,11
3,1955,9,92,B6,59,11
5,2685,5,58,AC,20,12
4,1720,5,61,BA,24,7
3,2770,2,63,AA,54,1
5,1372,5,24,7C,56,3
2,1099,1,18,7C,14,3
1,1220,10,18,BA,58,16
2,1960,6,68,AS,50,1
4,2395,8,56,AA,56,12
3,3000,3,73,AA,47,3
4,2469,8,25,AA,26,5
5,1404,10,20,AF,38,17
1,2939,3,88,B6,53,15
5,1102,8,44,BA,19,5
4,1631,3,15,BA,28,6
4,1762,3,74,7C,26,10
2,2574,8,24,AC,40,3
1,1850,3,86,AC,22,13
2,1130,8,70,AA,3,14
3,1021,6,72,AC,53,9
3,2746,9,86,AF,52,16
3,2646,2,79,AS,14,3
3,1085,4,50,CA,37,3
1,2017,8,98,AA,54,5
5,2163,9,100,7C,57,12
1,2742,6,24,AS,16,5
2,2693,5,95,AC,36,1
2,1472,1,47,CA,22,15
3,2927,10,34,7C,2,10
1,1468,6,5,AA,20,5
3,2050,2,82,7C,12,13
2,1030,7,100,CA,60,17
3,1052,6,35,AS,2,8
1,2367,5,40,B6,3,8
3,2118,4,31,7C,31,4
3,2671,3,98,AA,53,6
3,1254,1,35,AA,10,13
2,2879,7,2,7C,6,15
4,2304,3,72,CA,5,11
5,1102,7,9,AF,7,2
4,2699,7,30,7C,35,3
1,1936,1,29,B6,8,3
1,2468,1,93,AS,22,14
4,2156,5,17,AC,60,17
4,1094,5,23,B6,21,11
2,1268,6,65,7C,8,9
5,2367,6,4,B6,27,2
3,1902,2,21,CA,15,3
5,2986,6,73,AC,27,5
5,1985,3,93,AA,8,15
2,1686,1,11,CA,31,3
4,1908,2,43,B6,59,8
2,2334,6,91,7C,2,14
1,1615,6,56,7C,10,3
2,2546,3,16,7C,25,6
3,1174,5,43,B6,8,13
5,2017,3,15,B6,23,16
5,1051,8,60,AF,12,8
5,1480,1,49,AC,16,10
3,2314,5,48,CA,22,13
4,1100,8,98,AF,43,11
5,2981,2,86,AS,40,9
1,2697,1,2,CA,55,5
1,2622,10,24,7C,38,10
4,2354,6,32,BA,56,2
5,2030,8,30,AS,6,8
1,2090,1,41,B6,13,13
5,2847,4,10,AC,7,8
3,1678,2,58,AS,34,13
4,1106,10,47,AF,53,8
2,2864,8,45,B6,22,5
1,1327,9,62,BA,40,17
4,1386,7,58,AC,37,1
3,2020,9,1,AA,17,8
3,2397,6,57,B6,55,13
1,1952,2,82,7C,23,15
2,1812,7,91,AA,58,17
5,2801,5,62,BA,18,6
4,1745,9,85,AF,18,9
2,1418,8,40,AC,50,5
1,1853,2,60,BA,9,10
5,1143,5,99,AS,18,5
2,2234,3,25,BA,29,13
5,1624,1,6,CA,54,8
5,1088,10,85,7C,47,7
3,1258,1,74,B6,11,4
3,1954,10,19,7C,16,6
1,2152,4,59,AF,55,13
1,1886,10,20,AA,51,11
1,2274,7,99,7C,42,16
4,1315,3,29,AC,44,3
5,2856,10,65,B6,44,16
4,2451,1,30,BA,10,1
5,1299,2,39,AF,30,7
5,2842,10,43,B6,25,16
3,1120,5,67,AS,42,8
5,1239,4,32,AA,16,14
5,1652,7,68,B6,13,3
1,2810,5,34,B6,53,6
5,1342,2,58,AA,32,11
2,2229,9,87,CA,7,16
4,2240,10,26,B6,2,4
3,1608,7,95,CA,29,7
3,1666,3,95,7C,45,14
3,1575,7,81,7C,47,1
2,1096,10,71,AS,35,9
2,2105,7,66,7C,36,5
2,1633,2,49,7C,60,2
3,1640,7,51,BA,35,2
1,2701,9,22,CA,30,12
3,1277,4,82,AF,12,16
4,2692,10,58,AF,45,9
1,2734,2,51,BA,15,16
3,2266,4,30,B6,17,11
4,2503,10,48,B6,16,11
2,2515,8,18,AC,10,4
1,2241,8,29,AC,13,13
4,1038,4,89,7C,22,9
3,2984,2,22,CA,45,12
3,2779,5,4,AS,11,5
3,1364,8,73,AC,11,14
4,1564,9,98,B6,7,10
5,1179,3,88,AA,51,16
4,1933,7,27,AA,38,14
5,2980,8,55,AA,23,2
4,2658,7,82,AA,26,13
3,1947,5,73,AF,3,17
5,1926,3,25,AA,36,1
3,1327,1,31,7C,10,4
2,1402,7,3,BA,44,10
1,1434,3,51,AA,11,12
3,1753,5,55,AC,28,8
3,2025,9,21,AC,17,13
4,1334,2,39,7C,42,4
2,2642,8,89,AS,52,3
2,1895,1,34,BA,51,7
3,1354,10,41,AA,57,11
2,1692,1,32,AF,60,7
3,2217,3,77,AF,5,12
3,2675,4,60,AC,37,9
2,2178,4,22,7C,48,2
1,1365,5,15,BA,42,7
3,2854,1,38,BA,51,2
5,2414,3,43,AS,56,15
5,2517,10,78,BA,38,9
2,1450,8,50,BA,17,1
2,1480,7,30,CA,8,2
4,1608,5,64,7C,43,14
1,1310,7,76,AA,34,10
4,2907,5,90,BA,8,16
3,1768,3,85,BA,30,17
3,2936,4,94,B6,20,7
4,2362,8,16,BA,60,1
1,1506,10,64,B6,20,13
2,2400,1,68,CA,7,9
1,1459,5,52,AS,44,4
1,2564,5,89,CA,32,5
1,1371,1,60,AA,31,10
5,1928,9,40,AA,32,5
4,1617,9,55,AF,34,6
4,2841,1,88,BA,14,2
4,2869,7,17,BA,58,1
4,1038,1,8,7C,37,3
2,1637,5,13,AF,55,5
5,2075,9,1,AS,52,7
2,1463,9,17,B6,6,4
1,2517,6,76,AF,16,10
4,1754,2,28,AF,40,11
2,2831,3,88,AF,25,7
1,2783,2,7,AS,24,6
4,1347,4,25,B6,28,17
2,1717,9,10,B6,11,12
5,1295,10,78,7C,50,13
5,1357,7,26,AA,56,17
3,2603,8,73,AC,9,11
5,1757,3,15,7C,5,10
1,1882,6,60,B6,58,15
3,2475,5,88,AC,38,7
4,2050,4,60,AF,17,13
5,1295,8,15,BA,53,11
1,1968,3,17,BA,6,14
1,2575,10,51,AA,18,11
2,2281,7,3,AF,55,10
1,1010,4,28,AF,17,2
2,1733,7,19,B6,3,9
4,2904,8,9,AF,12,2
2,2025,10,60,AA,7,5
3,2935,4,3,AA,9,9
3,2781,2,40,BA,56,13
4,1789,4,22,AS,37,2
2,1131,1,16,CA,6,7
5,2973,8,28,AS,32,8
4,1413,5,26,AA,36,11
2,2675,7,45,AF,27,9
4,2841,8,98,AC,60,15
3,1149,2,26,AS,45,17
2,2175,6,66,AF,6,2
2,2947,5,15,CA,26,12
3,1975,8,65,CA,38,4
3,2086,9,58,AC,47,13
3,1789,1,17,AC,52,6
1,1076,3,30,BA,39,8
5,1117,7,5,AF,25,1
5,2352,8,8,BA,11,10
2,2931,2,55,AA,49,5
3,2108,7,76,BA,32,7
2,1609,4,59,BA,23,10
2,1614,4,1,AA,43,8
4,1452,10,96,B6,50,16
3,1835,1,88,BA,40,17
1,1168,2,33,CA,29,1
4,2159,10,51,AA,51,8
1,2697,3,22,AS,8,5
5,2961,9,43,CA,29,7
5,1476,1,19,B6,15,3
3,1496,4,28,B6,49,12
5,2833,9,57,7C,34,11
4,2152,2,84,AA,49,6
2,1058,10,59,7C,9,4
3,1383,9,85,AC,43,6
2,2354,3,54,B6,18,8
1,1952,9,5,7C,23,17
3,2903,5,94,7C,26,6
1,1859,4,53,AF,45,2
3,1025,8,72,AF,28,5
1,1448,5,34,B6,24,10
2,1160,7,19,BA,50,12
3,1880,2,84,AF,25,17
5,2067,1,13,AC,31,1
2,1876,9,28,7C,55,10
5,1779,6,3,AS,26,12
1,2293,9,30,7C,22,3
2,1897,7,77,B6,46,8
4,2384,7,81,AA,12,12
4,2391,4,63,AS,44,13
1,2076,5,29,CA,44,6
1,1749,4,50,AA,55,13
2,2093,3,22,BA,51,1
4,1743,6,44,BA,52,13
3,2978,5,71,AA,45,1
3,2954,10,43,AA,60,6
1,2921,3,42,AS,58,11
2,2306,8,25,7C,19,9
4,1102,6,77,B6,55,3
3,2335,10,73,CA,33,8
2,2639,9,37,CA,60,16
1,2514,8,48,7C,17,10
1,2527,6,30,B6,21,11
5,2189,1,81,AC,19,5
4,1363,2,13,B6,14,13
3,2377,8,44,CA,42,7
2,1430,9,88,AS,46,4
5,2298,10,31,AF,42,2
5,1924,9,65,AF,13,4
2,1703,6,45,AS,24,9
3,2198,5,20,B6,4,12
1,1975,2,4,AA,33,14
1,2234,8,52,CA,29,14
2,2468,5,97,AA,53,12
5,1923,7,72,7C,53,7
2,1307,4,71,BA,27,1
1,1521,9,39,B6,7,12
5,2425,2,88,AS,14,12
5,2798,10,93,AF,38,13
2,2827,9,26,BA,17,13
5,2838,1,90,BA,40,10
1,1399,8,61,CA,21,4
2,2152,10,93,AS,51,1
5,1945,3,23,AF,27,5
3,2699,3,54,AF,18,12
3,1459,10,92,7C,23,11
2,1125,7,98,AC,45,10
2,2160,2,23,B6,24,14
2,2983,3,28,AS,47,11
4,1370,8,95,AA,4,11
4,2277,4,73,CA,42,1
5,1181,3,57,CA,42,6
5,2272,3,8,AS,17,2
5,2520,1,93,B6,23,16
5,2332,5,3,BA,10,16
4,2448,1,87,CA,24,13
5,2126,7,11,AS,25,12
2,2930,5,75,BA,44,13
1,2626,10,74,CA,23,5
2,1713,4,84,7C,23,15
4,1070,7,90,BA,20,6
3,2092,1,86,AF,44,9
1,2156,7,96,BA,25,3
4,2663,1,24,BA,29,12
2,1155,8,46,BA,26,10
4,2478,3,12,AC,22,2
2,1817,8,62,AS,47,1
4,1254,4,91,CA,21,13
3,2760,8,58,AS,42,2
5,2926,7,98,AF,31,14
5,1584,2,30,7C,56,8
3,2520,7,60,BA,7,10
3,1469,1,82,BA,44,15
4,1840,3,85,AS,55,4
2,2097,5,6,B6,50,5
1,2641,4,92,CA,38,4
1,1983,9,57,BA,34,7
5,1865,6,62,AS,26,11
1,2039,2,35,AA,31,2
3,2362,1,94,CA,51,5
1,2938,3,8,CA,55,1
4,1064,8,45,B6,22,14
2,2939,10,85,7C,46,4
5,1827,3,51,7C,34,13
2,1847,1,51,CA,11,7
3,2238,9,89,CA,59,10
2,2330,1,27,AA,46,9
1,1128,4,58,BA,8,15
3,1940,6,45,AF,37,12
2,2089,5,66,B6,19,11
2,2997,4,60,BA,11,8
